money,time
19.20,2021/01/04
19.80,2021/01/11
19.40,2021/01/18
17.50,2021/01/25
19.49,2021/02/01
19.47,2021/02/08
19.85,2021/02/15
19.70,2021/02/22
19.74,2021/03/01
19.92,2021/03/08
20.20,2021/03/15
19.65,2021/03/22
20.84,2021/03/29
21.00,2021/04/05
21.50,2021/04/12
20.00,2021/04/19
22.00,2021/04/26
22.40,2021/05/03
23.00,2021/05/10
23.84,2021/05/17
24.48,2021/05/24
25.24,2021/05/31
24.98,2021/06/07
24.90,2021/06/14
25.26,2021/06/21
26.20,2021/06/28
25.49,2021/07/05
24.50,2021/07/12
23.82,2021/07/19
24.60,2021/07/26
24.92,2021/08/02
24.82,2021/08/09
24.10,2021/08/16
23.80,2021/08/23
24.05,2021/08/30
24.49,2021/09/06
24.56,2021/09/13
24.60,2021/09/20
24.57,2021/09/27
24.90,2021/10/04
25.34,2021/10/11
25.50,2021/10/18
25.71,2021/10/25
25.96,2021/11/01
25.89,2021/11/08
25.50,2021/11/15
26.34,2021/11/22
25.34,2021/11/29
25.50,2021/12/06
25.60,2021/12/13
25.50,2021/12/20
25.30,2021/12/27
25.83,2022/01/03
25.85,2022/01/10
25.65,2022/01/17
25.11,2022/01/24
25.74,2022/01/31
25.08,2022/02/07
25.75,2022/02/14
25.50,2022/02/21
25.70,2022/02/28
24.99,2022/03/07
25.00,2022/03/14
25.18,2022/03/21
25.88,2022/03/28
25.88,2022/04/04
25.50,2022/04/11
24.80,2022/04/18
23.96,2022/04/25
22.99,2022/05/02
21.50,2022/05/09
21.68,2022/05/16
22.39,2022/05/23
22.10,2022/05/30
22.40,2022/06/06
21.40,2022/06/13
20.79,2022/06/20
21.30,2022/06/27
20.89,2022/07/04
20.63,2022/07/11
20.89,2022/07/18
20.95,2022/07/25
21.37,2022/08/01
21.60,2022/08/08
21.80,2022/08/15
22.12,2022/08/22
22.06,2022/08/29
21.54,2022/09/05
21.05,2022/09/12
20.82,2022/09/19
19.92,2022/09/26
17.66,2022/10/03
18.00,2022/10/10
17.09,2022/10/17
17.50,2022/10/24
16.93,2022/10/31
15.20,2022/11/07
16.65,2022/11/14
16.41,2022/11/21
18.50,2022/11/28
18.18,2022/12/05
18.18,2022/12/12
17.70,2022/12/19
17.33,2022/12/26
17.98,2023/01/02
18.36,2023/01/09
19.40,2023/01/16
19.21,2023/01/23
18.49,2023/01/30
18.12,2023/02/06
17.86,2023/02/13
17.72,2023/02/20
17.27,2023/02/27
17.85,2023/03/06
17.80,2023/03/13
17.97,2023/03/20
18.40,2023/03/27
18.30,2023/04/03
18.30,2023/04/10
17.89,2023/04/17
18.20,2023/04/24
18.00,2023/05/01
18.16,2023/05/08
18.20,2023/05/15
18.05,2023/05/22
18.63,2023/05/29
18.74,2023/06/05
19.00,2023/06/12
19.29,2023/06/19
19.35,2023/06/26
19.41,2023/07/03
19.86,2023/07/10
20.25,2023/07/17
20.75,2023/07/24
21.14,2023/07/31
21.21,2023/08/07
20.40,2023/08/14
20.56,2023/08/21
21.20,2023/08/28
21.54,2023/09/04
21.34,2023/09/11
20.70,2023/09/18
20.14,2023/09/25
19.65,2023/10/02
20.06,2023/10/09
19.41,2023/10/16
18.32,2023/10/23
18.83,2023/10/30
19.05,2023/11/06
19.12,2023/11/13
18.68,2023/11/20
18.78,2023/11/27
19.23,2023/12/04
19.00,2023/12/11
18.95,2023/12/18
19.43,2023/12/25
20.03,2024/01/01
20.10,2024/01/08
20.37,2024/01/15
20.40,2024/01/22
20.23,2024/01/29
20.95,2024/02/05
21.10,2024/02/12
21.17,2024/02/19
21.87,2024/02/26
22.69,2024/03/04
21.75,2024/03/11
22.14,2024/03/18
22.57,2024/03/25
21.81,2024/04/01
22.10,2024/04/08
20.67,2024/04/15
21.55,2024/04/22
21.58,2024/04/29
21.99,2024/05/06
22.57,2024/05/13
22.50,2024/05/20
22.50,2024/05/27
21.80,2024/06/03
23.15,2024/06/10
23.04,2024/06/17
22.40,2024/06/24
22.98,2024/07/01
22.80,2024/07/08
22.78,2024/07/15
22.42,2024/07/22
22.32,2024/07/29
22.20,2024/08/05
22.58,2024/08/12
23.07,2024/08/19
23.27,2024/08/26
22.92,2024/09/02
22.61,2024/09/09
23.20,2024/09/16
23.68,2024/09/23
23.38,2024/09/30
23.83,2024/10/07
23.93,2024/10/14
23.31,2024/10/21
23.23,2024/10/28
23.04,2024/11/04
22.35,2024/11/11
22.50,2024/11/18
22.92,2024/11/25
23.35,2024/12/02
23.31,2024/12/09
23.06,2024/12/16
23.56,2024/12/23
23.18,2024/12/30
22.68,2025/01/06
22.93,2025/01/13
23.40,2025/01/20
23.42,2025/01/27
23.42,2025/02/03
23.41,2025/02/10
23.60,2025/02/17
23.74,2025/02/24
24.04,2025/03/03
24.24,2025/03/10
24.04,2025/03/17
